scenario_name,batch_number,sim,ir100.B_ly,ir100.H_ly,ir100.W_ly,prepElig.B_ly,prepElig.H_ly,prepElig.W_ly,i.prev.B_ly,i.prev.H_ly,i.prev.W_ly,i.prev.dx.B_ly,i.prev.dx.H_ly,i.prev.dx.W_ly,incid.B_cml,incid.H_cml,incid.W_cml
0_no_doxy,1,1,1.6612932501482927,0.4823359063591312,0.28223516090196227,23381.55769230769,3075.1153846153848,30986.403846153848,0.2952991404844094,0.09360180049326587,0.05904783132053684,0.2641144889110791,0.08291040673645007,0.05384839262715475,696,24,143
0_no_doxy,1,2,1.698789701444809,0.43835483502399203,0.32506767121072866,23510.78846153846,3142.4423076923076,30876.5,0.29447442225914267,0.10228399688250588,0.06204328190017943,0.26446926182880437,0.09035920860407216,0.056776102144531326,705,22,165
0_no_doxy,1,3,1.7522729530116092,0.6653675808713906,0.18479018284507576,22996.173076923078,3073.230769230769,30807.923076923078,0.3025195159133626,0.10794106913230744,0.06055707736785265,0.2708901655267989,0.09270726337112575,0.05536097805856046,726,33,92
0_no_doxy,1,4,1.801898268986479,0.3444498578869397,0.21139119451162414,22989.03846153846,3009.269230769231,30764.05769230769,0.2960906278334485,0.10434721114203366,0.06148029585881114,0.26431178036169245,0.0929113559709554,0.056209392215015905,747,17,108
0_no_doxy,1,5,1.6739775392657585,0.5919496855416375,0.2861211683697647,23430.384615384617,3056.653846153846,31042.634615384617,0.2947839545028408,0.10131913117308838,0.06145889721294255,0.2630767455885743,0.08829435391986454,0.056456973226945345,694,30,144
0_no_doxy,1,6,1.7688735722983355,0.6369175624341321,0.25367553647553953,23426.25,3013.6153846153848,30835.115384615383,0.2946481036795952,0.11045109923130642,0.059645197275489156,0.26236970109141516,0.09680176273907591,0.05471439903824419,746,31,128
0_no_doxy,1,7,1.662897666416545,0.37005756519600114,0.2593705550432259,23440.94230769231,3050.6923076923076,30998.94230769231,0.2897587870571635,0.10563826547228888,0.05843892119775485,0.2584258139153129,0.09193983535732378,0.05330823978010736,698,18,131
0_no_doxy,1,8,1.6047690512332362,0.5185805172730122,0.28264305422305,23802.576923076922,3081.769230769231,30830.923076923078,0.287283737811844,0.09568228327335454,0.059149128694179286,0.2573120689134614,0.08382990494705245,0.054264913226769414,682,27,140
0_no_doxy,2,1,1.7226650331792175,0.6078620927806588,0.2503578779806794,23081.423076923078,3036.980769230769,30828.80769230769,0.3010844369903065,0.10331556110060287,0.06275001665486947,0.26874427205788903,0.08901430749974341,0.05790746580906042,714,31,127
0_no_doxy,2,2,1.6184233523377212,0.4009583378129516,0.25741212878659486,23629.53846153846,3082.596153846154,31031,0.28688781465441593,0.09486145736342122,0.05867201737742019,0.25595404724017184,0.0853739371163757,0.05374638541712593,685,20,130
